consolidated_key,source_file,inner_controller_key,success_count,trials
PID_WO,paper/data/exp1_hardware/sources/pid_wo.json,OffsetCorrectedPID_PID_WO_offset_corrected,48,50
LQR_WO,paper/data/exp1_hardware/sources/lqr_wo_pidlike.json,LQRController_LQR_WO,46,50
MPC_WO,paper/data/exp1_hardware/sources/mpc_wo.json,MPCController_MPC_WO,40,50
MPC_basic_constr,paper/data/exp1_hardware/sources/mpc_basic.json,MPCController_MPC_N10_constr,22,50
NMPC_N10,paper/data/exp1_hardware/sources/nmpc_n10.json,NMPCController_NMPC_N10,45,50
MPPI_v12,paper/data/exp1_hardware/sources/mppi_v12_cpu.json,MPPIController,50,50
SMC_WO,paper/data/exp1_hardware/sources/smc_wo.json,OffsetSMC_smc_wo_offset-0.0070,46,50
SMC_full,paper/data/exp1_hardware/sources/smc_full.json,SMCController_SMC_full,12,50
SMC_basic,paper/data/exp1_hardware/sources/smc_full.json,SMCController_SMC_basic,6,50
PID_vanilla,paper/data/exp1_hardware/sources/pid_vanilla.json,PIDController_PID_vanilla,9,50
PPO_BZ_DR,paper/data/exp1_hardware/sources/ppo_bz_dr_first_order.json,RLHardwareController_PPO_BZ_DR,48,50
PPO_DR,paper/data/exp1_hardware/sources/ppo_dr.json,RLHardwareController_PPO_DR,45,50
PPO_base,paper/data/exp1_hardware/sources/ppo_base.json,RLHardwareController_PPO_base,30,50
TQC_DR,paper/data/exp1_hardware/sources/tqc_fo_1M_dr_best_50t.json,RLHardwareController_tqc_fo_1M_dr_best,43,50
TD3_DR,paper/data/exp1_hardware/sources/td3_fo_1M_dr_150k_50t.json,RLHardwareController_td3_fo_1M_dr_150k,46,50
TRPO_DR,paper/data/exp1_hardware/sources/trpo_fo_3M_dr_best_50t.json,RLHardwareController_trpo_fo_3M_dr_best,45,50
SAC_DR,paper/data/exp1_hardware/sources/sac_fo_1M_dr_best_50t.json,RLHardwareController_sac_fo_1M_dr_best,41,50
LQR_Qcenter,paper/data/exp1_hardware/sources/lqr_variants.json,LQRController_LQR_Qcenter,14,50
LQR_basic,paper/data/exp1_hardware/sources/lqr_basic.json,LQRController_LQR_WO,10,50
PPO_WM_v1,paper/data/exp1_hardware/ppo_wm_v1.json,RLController_ppo_wm_v1,50,50
IQL_OffRL,paper/data/iql_offline_rl/iql_best_demos_280k_50t.json,OfflineRLController_model_280000,46,50
