controller_a,controller_b,median_effort_a,median_effort_b,p_value,significant
MPPI,PPO(WM),0.351,0.502,5.876e-14,1
MPPI,PPO(BZ+DR),0.351,0.551,1.120e-08,1
MPPI,PD+WO,0.351,0.626,8.053e-14,1
MPPI,SMC+WO,0.351,0.565,3.739e-17,1
MPPI,LQR+WO,0.351,0.671,4.013e-16,1
MPPI,IQL,0.351,0.410,5.294e-03,0
MPPI,TD3,0.351,0.705,1.515e-16,1
MPPI,NMPC,0.351,0.653,4.695e-15,1
MPPI,TRPO,0.351,0.526,9.926e-14,1
MPPI,TQC,0.351,0.683,1.212e-17,1
MPPI,SAC,0.351,0.616,1.134e-16,1
MPPI,MPC+WO,0.351,0.673,2.706e-15,1
PPO(WM),PPO(BZ+DR),0.502,0.551,2.150e-02,0
PPO(WM),PD+WO,0.502,0.626,2.715e-06,1
PPO(WM),SMC+WO,0.502,0.565,1.194e-06,1
PPO(WM),LQR+WO,0.502,0.671,4.540e-09,1
PPO(WM),IQL,0.502,0.410,8.013e-08,1
PPO(WM),TD3,0.502,0.705,3.796e-13,1
PPO(WM),NMPC,0.502,0.653,7.046e-07,1
PPO(WM),TRPO,0.502,0.526,2.211e-01,0
PPO(WM),TQC,0.502,0.683,1.123e-14,1
PPO(WM),SAC,0.502,0.616,5.142e-09,1
PPO(WM),MPC+WO,0.502,0.673,7.449e-09,1
PPO(BZ+DR),PD+WO,0.551,0.626,1.518e-04,1
PPO(BZ+DR),SMC+WO,0.551,0.565,1.045e-01,0
PPO(BZ+DR),LQR+WO,0.551,0.671,3.998e-08,1
PPO(BZ+DR),IQL,0.551,0.410,1.470e-06,1
PPO(BZ+DR),TD3,0.551,0.705,2.197e-12,1
PPO(BZ+DR),NMPC,0.551,0.653,1.568e-05,1
PPO(BZ+DR),TRPO,0.551,0.526,1.546e-01,0
PPO(BZ+DR),TQC,0.551,0.683,1.152e-12,1
PPO(BZ+DR),SAC,0.551,0.616,1.084e-04,1
PPO(BZ+DR),MPC+WO,0.551,0.673,5.049e-08,1
PD+WO,SMC+WO,0.626,0.565,8.367e-03,0
PD+WO,LQR+WO,0.626,0.671,2.036e-03,0
PD+WO,IQL,0.626,0.410,6.494e-11,1
PD+WO,TD3,0.626,0.705,4.933e-09,1
PD+WO,NMPC,0.626,0.653,3.830e-02,0
PD+WO,TRPO,0.626,0.526,9.455e-06,1
PD+WO,TQC,0.626,0.683,9.022e-07,1
PD+WO,SAC,0.626,0.616,2.159e-01,0
PD+WO,MPC+WO,0.626,0.673,2.804e-03,0
SMC+WO,LQR+WO,0.565,0.671,2.808e-06,1
SMC+WO,IQL,0.565,0.410,4.513e-14,1
SMC+WO,TD3,0.565,0.705,4.487e-11,1
SMC+WO,NMPC,0.565,0.653,1.209e-03,0
SMC+WO,TRPO,0.565,0.526,6.357e-04,1
SMC+WO,TQC,0.565,0.683,3.238e-11,1
SMC+WO,SAC,0.565,0.616,8.713e-03,0
SMC+WO,MPC+WO,0.565,0.673,3.923e-06,1
LQR+WO,IQL,0.671,0.410,1.161e-13,1
LQR+WO,TD3,0.671,0.705,1.144e-05,1
LQR+WO,NMPC,0.671,0.653,9.862e-01,0
LQR+WO,TRPO,0.671,0.526,1.815e-08,1
LQR+WO,TQC,0.671,0.683,3.402e-02,0
LQR+WO,SAC,0.671,0.616,1.617e-05,1
LQR+WO,MPC+WO,0.671,0.673,8.822e-01,0
IQL,TD3,0.410,0.705,1.940e-15,1
IQL,NMPC,0.410,0.653,2.952e-12,1
IQL,TRPO,0.410,0.526,3.161e-08,1
IQL,TQC,0.410,0.683,9.530e-17,1
IQL,SAC,0.410,0.616,4.513e-14,1
IQL,MPC+WO,0.410,0.673,4.423e-13,1
TD3,NMPC,0.705,0.653,5.272e-05,1
TD3,TRPO,0.705,0.526,1.273e-12,1
TD3,TQC,0.705,0.683,2.680e-03,0
TD3,SAC,0.705,0.616,1.616e-10,1
TD3,MPC+WO,0.705,0.673,3.082e-05,1
NMPC,TRPO,0.653,0.526,1.869e-06,1
NMPC,TQC,0.653,0.683,7.587e-02,0
NMPC,SAC,0.653,0.616,1.598e-02,0
NMPC,MPC+WO,0.653,0.673,8.281e-01,0
TRPO,TQC,0.526,0.683,4.758e-14,1
TRPO,SAC,0.526,0.616,1.642e-07,1
TRPO,MPC+WO,0.526,0.673,1.546e-08,1
TQC,SAC,0.683,0.616,3.844e-09,1
TQC,MPC+WO,0.683,0.673,5.844e-02,0
SAC,MPC+WO,0.616,0.673,2.569e-05,1
