Controller,Settling Time (s),Success Rate (%),RMS Control Effort,Median (s),IQR (s),p5 (s),p95 (s),Overshoot (rad) [NOT in table],SS-RMSE θ (rad) [NOT in table],Ctrl time (ms)
PID_WO,"5.80 [4.05, 7.79]","96 [87, 99]",0.580,3.38,6.36,0.45,18.61,0.0467,-,0.05
LQR_WO,"10.21 [7.76, 12.79]","92 [81, 97]",0.625,8.28,13.82,0.53,25.43,0.0662,-,0.33
MPC_WO,"10.81 [8.12, 13.60]","80 [67, 89]",0.623,9.65,16.00,0.60,25.78,0.0610,-,0.47
MPC_basic_constr,"4.41 [2.46, 6.93]","44 [31, 58]",0.296,3.05,6.41,0.35,8.80,0.0698,-,0.43
NMPC_N10,"7.48 [5.23, 10.00]","90 [79, 96]",0.608,4.71,6.15,0.45,26.50,0.0530,-,5.14
MPPI_v12,"2.06 [1.71, 2.44]","100 [93, 100]",0.354,1.67,1.63,0.79,4.41,0.0315,-,39.98
SMC_WO,"8.93 [7.37, 10.59]","92 [81, 97]",0.562,8.28,6.09,2.36,18.19,0.0524,-,0.06
SMC_full,"0.78 [0.46, 1.20]","24 [14, 37]",0.777,0.50,0.23,0.25,2.14,0.0636,-,0.09
SMC_basic,"0.69 [0.47, 1.12]","12 [6, 24]",0.828,0.50,0.04,0.45,1.44,0.0721,-,0.11
PID_vanilla,"1.54 [0.98, 2.10]","18 [10, 31]",0.788,1.75,1.30,0.45,2.74,0.0689,-,0.03
PPO_BZ_DR,"3.81 [2.95, 4.81]","96 [87, 99]",0.498,3.15,3.68,0.39,10.84,0.0515,-,0.59
PPO_DR,"5.11 [3.69, 6.73]","90 [79, 96]",0.485,2.55,4.85,0.67,15.40,0.0486,-,0.80
PPO_base,"3.53 [2.55, 4.61]","60 [46, 72]",0.495,2.53,4.17,0.45,8.90,0.0487,-,0.77
TQC_DR,"9.77 [7.32, 12.47]","86 [74, 93]",0.663,6.61,12.83,0.52,26.42,0.0679,-,7.92
TD3_DR,"11.45 [9.14, 13.84]","92 [81, 97]",0.680,10.06,13.37,1.18,25.51,0.0768,-,7.89
TRPO_DR,"8.09 [5.95, 10.36]","90 [79, 96]",0.508,4.80,12.10,0.46,21.65,0.0605,-,0.67
SAC_DR,"10.10 [7.84, 12.36]","82 [69, 90]",0.588,8.40,11.90,1.01,22.11,0.0681,-,7.81
LQR_Qcenter,"13.36 [9.99, 16.64]","28 [17, 42]",0.696,13.13,9.10,3.95,21.82,0.0801,-,0.04
LQR_basic,"0.75 [0.46, 1.15]","20 [11, 33]",0.788,0.50,0.05,0.40,1.92,0.0643,-,0.05
PPO_WM_v1,"6.84 [5.01, 8.80]","100 [93, 100]",0.492,3.64,5.50,0.80,22.96,0.0602,-,6.72
IQL_OffRL,"10.62 [8.59, 12.79]","92 [81, 97]",0.395,9.80,11.14,1.04,23.08,0.0447,-,2.02
