Controller,Settling Time (s),Success Rate (%),RMS Control Effort
PID_WO,"5.80 [4.05, 7.79]","96 [87, 99]",0.580
LQR_WO,"10.21 [7.76, 12.79]","92 [81, 97]",0.625
MPC_WO,"10.81 [8.12, 13.60]","80 [67, 89]",0.623
MPC_basic_constr,"4.41 [2.46, 6.93]","44 [31, 58]",0.296
NMPC_N10,"7.48 [5.23, 10.00]","90 [79, 96]",0.608
MPPI_v12,"2.06 [1.71, 2.44]","100 [93, 100]",0.354
SMC_WO,"8.93 [7.37, 10.59]","92 [81, 97]",0.562
SMC_full,"0.78 [0.46, 1.20]","24 [14, 37]",0.777
SMC_basic,"0.69 [0.47, 1.12]","12 [6, 24]",0.828
PID_vanilla,"1.54 [0.98, 2.10]","18 [10, 31]",0.788
PPO_BZ_DR,"3.81 [2.95, 4.81]","96 [87, 99]",0.498
PPO_DR,"5.11 [3.69, 6.73]","90 [79, 96]",0.485
PPO_base,"3.53 [2.55, 4.61]","60 [46, 72]",0.495
TQC_DR,"9.77 [7.32, 12.47]","86 [74, 93]",0.663
TD3_DR,"11.45 [9.14, 13.84]","92 [81, 97]",0.680
TRPO_DR,"8.09 [5.95, 10.36]","90 [79, 96]",0.508
SAC_DR,"10.10 [7.84, 12.36]","82 [69, 90]",0.588
LQR_Qcenter,"13.36 [9.99, 16.64]","28 [17, 42]",0.696
LQR_basic,"0.75 [0.46, 1.15]","20 [11, 33]",0.788
PPO_WM_v1,"6.84 [5.01, 8.80]","100 [93, 100]",0.492
IQL_OffRL,"10.62 [8.59, 12.79]","92 [81, 97]",0.395
