controller,SR_pct,wilson_lo,wilson_hi,mean_s,median_s,iqr_lo,iqr_hi,rms_effort
MPPI,100,92.9,100.0,2.06,1.67,1.04,2.67,0.354
PPO(WM),100,92.9,100.0,6.84,3.64,2.04,7.54,0.492
PPO(BZ+DR),96,86.5,98.9,3.81,3.15,1.29,4.96,0.498
PD+WO,96,86.5,98.9,5.80,3.38,1.11,7.48,0.580
SMC+WO,92,81.2,96.8,8.93,8.28,4.69,10.78,0.562
LQR+WO,92,81.2,96.8,10.21,8.28,2.86,16.68,0.625
IQL,92,81.2,96.8,10.62,9.80,4.49,15.63,0.395
TD3,92,81.2,96.8,11.45,10.06,4.54,17.91,0.680
NMPC,90,78.6,95.7,7.48,4.71,1.35,7.51,0.608
TRPO,90,78.6,95.7,8.09,4.80,1.50,13.60,0.508
TQC,86,73.8,93.0,9.77,6.61,2.68,15.51,0.663
SAC,82,69.2,90.2,10.10,8.40,3.26,15.16,0.588
MPC+WO,80,67.0,88.8,10.81,9.65,2.35,18.35,0.623
