controller_name,n_trials
MPPIController_MPPI-v1,79
NMPCController_NMPC_Q0.0_0.0_9.0_0.0_R0.01_N10,62
NMPCController_NMPC,60
MPPIController_MPPI-v10-10cxt,58
MPPIController_MPPI-v12-10cxt,52
RLHardwareController_td3_fo_1M_dr_150k,50
RLHardwareController_tqc_fo_1M_dr_best,50
RLHardwareController_sac_fo_1M_dr_best,50
RLHardwareController_trpo_fo_3M_dr_best,50
NMPCController_NMPC_tuned_N16_WO,42
OfflineRLController_cont_iql_model,35
OfflineRLController_model_350000,34
MPPIController_MPPIController_MPPI-v12-10cxt,31
PIDController_PIDController_PID_vanilla,30
LQRController_LQRController_LQR,30
_RLCtrl_RLHardwareController_fo5M_dr_bz_3.5M,30
_RLCtrl_RLController_ppo_cont_balanced_dr,30
_RLCtrl_RLHardwareController_tqc_fo_1M_dr_best,30
SMCController_SMCController_SMC_basic,30
RLControllerWithOffset_SAC_real_200k,23
RLHardwareController_PPO_WM_v1,20
NMPCController_NMPC_Q0.0_0.0_10.0_0.0_R0.01_N10,17
RLHardwareController_td3_best,10
RLHardwareController_td3_0.15M,10
RLHardwareController_td3_final,10
RLHardwareController_td3_0.55M,10
RLHardwareController_trpo_base_final,10
RLHardwareController_trpo_base_2.70M,10
RLHardwareController_trpo_base_2.75M,10
RLHardwareController_trpo_base_best,10
RLHardwareController_tqc_0.90M,10
RLHardwareController_tqc_final,10
RLHardwareController_tqc_0.15M,10
RLHardwareController_tqc_best,10
RLHardwareController_sac_0.20M,10
RLHardwareController_sac_0.45M,10
RLHardwareController_sac_best,10
RLHardwareController_sac_final,10
RLHardwareController_trpo_2.35M,10
RLHardwareController_trpo_final,10
RLHardwareController_trpo_2.10M,10
RLHardwareController_trpo_best,10
RLHardwareController_PPO_WM_v10,10
RLHardwareController_tqc_base_best,10
RLHardwareController_tqc_base_0.85M,10
RLHardwareController_tqc_base_0.75M,10
RLHardwareController_tqc_base_final,10
NMPCController_NMPC_tuned_N16,10
RLHardwareController_td3_base_final,10
RLHardwareController_td3_base_0.40M,10
RLHardwareController_td3_base_best,10
RLHardwareController_td3_base_0.60M,10
RLHardwareController_sac_base_best,10
RLHardwareController_sac_base_0.30M,10
RLHardwareController_sac_base_0.40M,10
RLHardwareController_sac_base_final,10
RLController_ppo_ppo,10
NMPCController_NMPC_Q0.0_0.0_20.3_0.1_R0.02_N10,10
OfflineRLController_model_300000,9
OfflineRLController_model_200000,9
SMCController_SMC,9
MPCController_MPC_Q0_0_40_0_R0.00_N10_vel,8
LQRController_LQR,8
NMPCController_NMPC_Q20_Q4_1,7
RLController_td3_td3,6
NMPCController_NMPC_Q0.0_0.0_10.3_0.1_R0.01_N10,6
RLController_tqc_tqc,6
PIDRLWallSwitch_PID_TRPO_WallSwitch_m012,5
OfflineRLController_model_400000,5
OfflineRLController_model_500000,5
OfflineRLController_model_100000,5
RLController_sac_sac,5
NMPCController_NMPC_Q0.0_0.0_40.0_0.0_R0.05_N10,5
MPCController_MPC_Q0_0_50_0_R0.02_N10_vel,5
NMPCController_NMPC_Q0.0_1.0_40.0_1.0_R0.01_N10,5
OffsetSMC_smc_wo,5
RLHardwareController_fo5M_base_final,3
OffsetCorrectedPID_PID_WO_offset_corrected,3
NMPCController_NMPC_Q0.0_0.0_10.3_0.1_R0.00_N10,3
RLController_trpo_trpo,3
NMPCController_NMPC_final,3
RLHardwareController_PPO_WM_v12,2
RLHardwareController_fo5M_dr_bz_1.75M,2
RLHardwareController_PPO_WM_v11,2
RLController_sac_real_200k,2
NMPCController_NMPC_Q0.0_1.0_10.0_1.0_R0.01_N10,2
MPCController_MPC_Q0_0_10_0_R0.00_N10_vel,2
NMPCController_NMPC_Q0.0_0.0_20.3_0.1_R0.02_N30,2
NMPCController_NMPC_Q0.0_0.0_30.3_0.1_R0.02_N10,2
MPCController_MPC_Q0_0_10_0_R0.00_N30_vel,2
RLHardwareController_TQC_real_scratch,1
RLHardwareController_PPO_WM_v12_icfix,1
OfflineRLController_model_50000,1
OfflineRLController_model_150000,1
MPCController_MPC_Q0_0_10_0_R0.02_N30_vel,1
MPCController_MPC_Q0_0_40_0_R0.02_N10_vel,1
NMPCController_NMPC_Q0.0_0.0_9.3_0.1_R0.02_N10,1
MPCController_MPC_Q0_0_15_0_R0.00_N10_vel,1
MPCController_MPC_Q0_0_10_0_R0.02_N10_vel,1
MPCController_MPC_Q0_0_30_0_R0.00_N15_vel,1
MPCController_MPC_Q0_0_10_0_R0.05_N10_vel,1
MPCController_MPC_Q0_0_10_0_R0.01_N10_vel,1
MPCController_MPC_Q0_0_30_0_R0.00_N10_vel,1
NMPCController_NMPC_Q0.0_0.0_20.3_0.1_R0.02_N15,1
MPCController_MPC_Q0_0_35_0_R0.02_N10_vel,1
NMPCController_NMPC_Q0.0_1.0_10.0_1.0_R0.05_N10,1
